source_key,raga,artist,title,performance_type,link,source_platform,duration_sec,license_type,rights_status,collection_id,rank,tags
yt_bhairavi_playlist_LM9sgxX1TGc,bhairavi,,Main Dharun Tiharo Dhyan | Bhajan | Raag Bhairavi | First Prahar,,https://www.youtube.com/watch?v=LM9sgxX1TGc,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairavi_playlist_MsTQJnya_iw,bhairavi,,Colours of Bhairavi Part 2 | Dhun | Instrumental | First Prahar,,https://www.youtube.com/watch?v=MsTQJnya_iw,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairavi_playlist_NAF7lC__lAY,bhairavi,,Dil Toh Bachcha Hai Ji (Ishqiya) | Dhun | Instrumental Raag Bhairavi | First Prahar,,https://www.youtube.com/watch?v=NAF7lC__lAY,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairavi_playlist_Q2dlFO0i60k,bhairavi,,Patit Udharini Gange Maa | Bhajan | Raag Bhairavi | First Prahar,,https://www.youtube.com/watch?v=Q2dlFO0i60k,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairavi_playlist_SyhO8OdSr98,bhairavi,,Raag Bhairavi | Pratham Prahar | Bhajan | Sarveshwari Jagadeshwari,,https://www.youtube.com/watch?v=SyhO8OdSr98,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairavi_playlist_TzXQC2oqRug,bhairavi,,Mata MahaGauri Dhyan Mantra | Raag Bhairavi,,https://www.youtube.com/watch?v=TzXQC2oqRug,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairavi_playlist_URgLlaQciJA,bhairavi,,Mera Joota Hai Japani | Dhun | Instrumental | Raag Bhairavi | First Prahar,,https://www.youtube.com/watch?v=URgLlaQciJA,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairavi_playlist_UZqILW28soc,bhairavi,,Raag Bhairavi | First Prahar | Ghazal | Sabko malum hae mae sharabi nahi,,https://www.youtube.com/watch?v=UZqILW28soc,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairavi_playlist_WgNYl2tkOCg,bhairavi,,Dhoom Macha Le Dhoom (Dhoom) | Dhun | Instrumental | Raag Bhairavi | First Prahar,,https://www.youtube.com/watch?v=WgNYl2tkOCg,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairavi_playlist_Z5gRSmd4rdc,bhairavi,,Parvati Devi Maha Mayavini | Bhajan | Raag Bhairavi | First Prahar,,https://www.youtube.com/watch?v=Z5gRSmd4rdc,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairavi_playlist__nE0_MvtJiE,bhairavi,,Raag Bhairavi | First Prahar | Bhajan | Shivaya Parmeshwaray,,https://www.youtube.com/watch?v=_nE0_MvtJiE,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairavi_playlist_ccO4VALZbuQ,bhairavi,,Raag Bhairavi | First Prahar | Bhajan | Beet Gaye Din Bhajan Bina Re,,https://www.youtube.com/watch?v=ccO4VALZbuQ,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairavi_playlist_e930PRbm1TE,bhairavi,,Raag Bhairavi | First Prahar | Bhajan | Krishna Pranat Pal Prabhu,,https://www.youtube.com/watch?v=e930PRbm1TE,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairavi_playlist_etYlJHsGM5E,bhairavi,,Sab Mil Ke Aaj Jay Kaho | Bhajan | Raag Bhairavi | First Prahar,,https://www.youtube.com/watch?v=etYlJHsGM5E,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairavi_playlist_fl1Ve_8KUvs,bhairavi,,Colours Of Bhairavi Part 3 | Dhun | Instrumental | First Prahar,,https://www.youtube.com/watch?v=fl1Ve_8KUvs,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairavi_playlist_gJNEFzDVRl4,bhairavi,,Dil-A-Veeran Hai Teri Yaad Hai | Ghazal | Raag Bhairavi | First Prahar,,https://www.youtube.com/watch?v=gJNEFzDVRl4,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairavi_playlist_ioEIAdnzhog,bhairavi,,Raag Bhairavi – The Raga of Closure and Calm | Raag Pravah LIVE,,https://www.youtube.com/watch?v=ioEIAdnzhog,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairavi_playlist_jGps9x_LPcM,bhairavi,,Awaara Hoon (Awaara) | Dhun | Instrumental | Raag Bhairavi | First Prahar,,https://www.youtube.com/watch?v=jGps9x_LPcM,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairavi_playlist_k-U-nGhHEfQ,bhairavi,,Raag Bhairavi | First Prahar | Bhajan | Tum Meri Raakho Laaj Hari,,https://www.youtube.com/watch?v=k-U-nGhHEfQ,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairavi_playlist_leGmfPfMjX0,bhairavi,,My name is Sheila (Tees Maar Khan) | Dhun | Instrumental | Raag Bhairavi | First Prahar,,https://www.youtube.com/watch?v=leGmfPfMjX0,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairavi_playlist_mesNOal2ovU,bhairavi,,Vidya Gyan Pradayani Ma Sharde | Stuti | Raag Bhairavi | First Prahar,,https://www.youtube.com/watch?v=mesNOal2ovU,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairavi_playlist_mr5BuoBI2r0,bhairavi,,Jis Din Se Dekha Hai Tumko Sanam | Ghazal | Raag Bhairavi | First Prahar,,https://www.youtube.com/watch?v=mr5BuoBI2r0,youtube,,unknown,ingestible,,,"{""tags"": []}"
